keyword,count,type
buildings,382,object
trees,365,object
greenery,354,object
escape,274,descriptor
refuge,229,descriptor
urban,177,descriptor
roads,163,object
separation,163,descriptor
functional,148,descriptor
calm,133,descriptor
quiet,127,descriptor
cars,121,object
respite,107,descriptor
parked cars,105,object
peaceful,104,descriptor
road,102,object
vehicles,96,object
daily demands,94,descriptor
detachment,87,descriptor
natural,84,descriptor
street,83,object
green spaces,82,object
pathways,77,object
orderly,75,descriptor
visible,71,descriptor
clean,69,descriptor
active,68,descriptor
tranquil,68,descriptor
modern buildings,64,object
organized,62,descriptor
nuisances,59,descriptor
mental escape,57,descriptor
moderate,57,descriptor
campus,52,object
break,51,descriptor
well-maintained,50,descriptor
environment,49,object
urban nuisances,45,descriptor
departure,45,descriptor
clear,45,descriptor
demands,43,descriptor
sense of escape,43,descriptor
daily routines,42,descriptor
absence,41,descriptor
serene,40,descriptor
paved roads,40,object
mental detachment,39,descriptor
residential buildings,39,object
secluded,39,descriptor
structured,39,descriptor
infrastructure,38,object
natural elements,38,descriptor
traffic,37,object
parked vehicles,35,object
everyday demands,34,descriptor
open spaces,34,object
water,33,object
urban setting,33,descriptor
complete escape,31,descriptor
accessible,31,descriptor
everyday concerns,31,descriptor
calm atmosphere,31,descriptor
removed,30,descriptor
potential escape,30,descriptor
sky,30,object
typical,29,descriptor
clear separation,28,descriptor
urban hustle,28,descriptor
mental break,28,descriptor
institutional,27,descriptor
urban street,27,object
campus,27,descriptor
pleasant,27,descriptor
quiet atmosphere,26,descriptor
nature,24,object
landscaping,24,object
demanding,24,descriptor
daily nuisances,24,descriptor
abundant,24,descriptor
urban bustle,24,descriptor
pathway,23,object
natural elements,23,object
detached,23,descriptor
manicured,22,descriptor
distractions,22,descriptor
busy,21,descriptor
proximity,21,descriptor
urban infrastructure,21,object
canal,20,object
everyday,20,descriptor
mental respite,20,descriptor
being away,19,descriptor
green,19,descriptor
building,19,object
responsibilities,19,descriptor
true refuge,19,descriptor
minimal,18,descriptor
hustle and bustle,18,descriptor
typical demands,18,descriptor
construction,18,object
sidewalks,18,object
urban setting,17,object
residential,17,descriptor
urban environment,17,descriptor
typical urban nuisances,16,descriptor
