keyword,count,type
buildings,16,object
greenery,15,object
refuge,11,descriptor
trees,9,object
functional,9,descriptor
vehicles,8,object
escape,7,descriptor
urban,7,descriptor
cars,7,object
roads,7,object
active,7,descriptor
modern buildings,6,object
daily demands,6,descriptor
respite,6,descriptor
pathway,6,object
utilitarian,5,descriptor
peaceful,5,descriptor
urban setting,5,descriptor
nuisances,5,descriptor
parked vehicles,4,object
quiet,4,descriptor
construction,4,object
environment,4,object
road,4,object
visible,4,descriptor
secluded,3,descriptor
everyday demands,3,descriptor
parked cars,3,object
daily routines,3,descriptor
sense of escape,3,descriptor
detachment,3,descriptor
restorative,3,descriptor
urban setting,3,object
work-related,3,descriptor
unlikely,3,descriptor
not a refuge,3,descriptor
refuge,3,object
accessible,3,descriptor
calm,3,descriptor
everyday life,3,descriptor
natural,2,descriptor
residential buildings,2,object
construction materials,2,object
parking lot,2,object
campus,2,descriptor
tranquil,2,descriptor
vehicle,2,object
atmosphere,2,descriptor
moderate,2,descriptor
lack of escape,2,descriptor
demanding,2,descriptor
mental detachment,2,descriptor
contrast,2,descriptor
everyday routines,2,descriptor
traffic cones,2,object
urban bustle,2,descriptor
industrial,2,descriptor
visible infrastructure,2,descriptor
being away,2,descriptor
natural escape,2,descriptor
walkway,2,object
mental escape,2,descriptor
everyday space,2,descriptor
traffic,2,object
structured environment,2,descriptor
clear,2,descriptor
quiet atmosphere,2,descriptor
campus-like,2,descriptor
ongoing,2,descriptor
strong sense of escape,2,descriptor
paved walkway,2,object
break,2,descriptor
structured,2,descriptor
typical demands,2,descriptor
difficult to escape,1,descriptor
integrated,1,descriptor
fence,1,object
utility pipes,1,object
sports facility,1,object
active use,1,descriptor
quiet retreat,1,descriptor
path,1,object
ac units,1,object
car,1,object
paved areas,1,object
mundane,1,descriptor
urban hustle,1,descriptor
sense of being away,1,descriptor
open sky,1,object
not a complete detachment,1,descriptor
sports field,1,object
potential,1,descriptor
urban environment,1,descriptor
no obvious recreational features,1,descriptor
weak sense of 'being away',1,descriptor
neglect,1,descriptor
daily nuisances,1,descriptor
stop thinking,1,descriptor
everyday,1,descriptor
environment,1,descriptor
debris pile,1,object
security cameras,1,object
infrastructure,1,object
industrial-style buildings,1,object
distractions,1,descriptor
overcast sky,1,object
thoughts,1,descriptor
streetlights,1,object
road markings,1,object
separation,1,descriptor
temporary traffic controls,1,object
ample,1,descriptor
typical daily demands,1,descriptor
leisurely,1,descriptor
potential escape,1,descriptor
detached,1,descriptor
visual separation,1,descriptor
street,1,object
reducing 'being away' quality,1,descriptor
dedicated area,1,descriptor
construction barriers,1,object
functional nature,1,descriptor
paved pathways,1,object
low 'being away' score,1,descriptor
presence,1,descriptor
degree of separation,1,descriptor
true departure,1,descriptor
complete detachment,1,descriptor
