keyword,count,type
buildings,653,object
organized,477,descriptor
clear,455,descriptor
trees,444,object
pathways,405,object
sidewalks,350,object
landscaping,274,object
coherence,233,descriptor
roads,224,object
sense of order,213,descriptor
structured,209,descriptor
well-defined,208,descriptor
orderly,201,descriptor
road,192,object
greenery,189,object
consistent,174,descriptor
planned,149,descriptor
street,143,object
arrangement,126,descriptor
easy to understand,123,descriptor
predictability,121,descriptor
manicured,105,descriptor
well-maintained,100,descriptor
organization,95,descriptor
green spaces,94,object
order,94,descriptor
logical,91,descriptor
modern,84,descriptor
proper place,82,descriptor
predictable,68,descriptor
parking areas,62,object
layout,62,descriptor
street layout,60,object
spatial arrangement,56,descriptor
clearly defined,56,descriptor
integrated,55,descriptor
coherent,54,descriptor
streetlights,54,object
neatly trimmed,52,descriptor
distinct,50,descriptor
designated place,49,descriptor
understandable,48,descriptor
evenly spaced,48,descriptor
well-organized,47,descriptor
clear order,45,descriptor
clear sense of order,44,descriptor
paths,44,object
clear organization,43,descriptor
scattered,42,descriptor
intentional,42,descriptor
structure,39,descriptor
building,38,object
landscape,38,object
neat,38,descriptor
elements,37,object
neatly arranged,36,descriptor
hedges,35,object
arranged,33,descriptor
bushes,33,object
uniform,32,descriptor
easy to comprehend,32,descriptor
neatly maintained,31,descriptor
physical arrangement,29,descriptor
clear organizational structure,29,descriptor
environment,29,object
natural elements,29,object
defined,29,descriptor
architecture,28,object
streets,28,object
lanes,27,object
consistent architectural style,27,descriptor
functional,27,descriptor
moderate,26,descriptor
road markings,26,object
well-planned,25,descriptor
landscaped areas,25,object
designated,25,descriptor
pathway,24,object
sense of organization,24,descriptor
visual order,24,descriptor
grass,23,object
intentional design,23,descriptor
debris,23,object
grassy areas,23,object
degree of order,23,descriptor
parking spaces,22,object
spatial organization,22,descriptor
paved roads,21,object
varied,21,descriptor
paved areas,21,object
clear separation,21,descriptor
deliberate,21,descriptor
infrastructure,21,object
lawns,20,object
harmonious,20,descriptor
symmetrical,20,descriptor
discernible,20,descriptor
strong sense of order,19,descriptor
vegetation,19,object
green areas,19,object
natural,19,descriptor
architectural style,19,object
clear layout,18,descriptor
intended place,18,descriptor
clear lines,18,descriptor
organizational structure,18,descriptor
canal,18,object
well-structured,17,descriptor
easily understandable,17,descriptor
paved,17,descriptor
visible,16,descriptor
neatly planted,16,descriptor
building structures,16,object
aligned,15,descriptor
ordered,15,descriptor
deliberate design,15,descriptor
lane markings,15,object
disjointed,15,descriptor
road layout,15,object
systematic,14,descriptor
planned layout,14,descriptor
campus,14,object
bicycles,14,object
path,14,object
materials,14,object
sense of coherence,13,descriptor
disorganized,13,descriptor
shrubs,13,object
parallel,13,descriptor
clear structure,13,descriptor
navigate,13,descriptor
overall arrangement,13,descriptor
architectural styles,13,object
organized layout,13,descriptor
architectural elements,13,object
construction materials,12,object
moderate coherence,12,descriptor
parking lot,12,object
clear division,12,descriptor
simple,12,descriptor
maintained,12,descriptor
uniformly designed,12,descriptor
layout,11,object
pedestrian paths,11,object
bordered,11,descriptor
orderliness,11,descriptor
walkways,11,object
comprehensibility,11,descriptor
residential buildings,11,object
easy to follow,11,descriptor
unkempt,11,descriptor
structured manner,11,descriptor
paved road,11,object
intersection,11,object
easy to navigate,10,descriptor
understandability,10,descriptor
urban landscape,10,object
space,10,object
straight,10,descriptor
planned environment,10,descriptor
strong sense,10,descriptor
proper places,10,descriptor
cohesive,10,descriptor
natural elements,10,descriptor
logical arrangement,10,descriptor
fit together,9,descriptor
ease of understanding,9,descriptor
parked vehicles,9,object
visual flow,9,descriptor
orderly arrangement,9,descriptor
designated places,9,descriptor
perfect,9,descriptor
seamless,9,descriptor
clarity,9,descriptor
areas,9,object
consistent placement,9,descriptor
linear,9,descriptor
paved walkways,9,object
perfect coherence,9,descriptor
planned development,9,descriptor
disrupt,9,descriptor
utilitarian,9,descriptor
tidiness,9,descriptor
vehicles,9,object
grounds,9,object
lampposts,9,object
good degree of order,8,descriptor
structures,8,object
reasonable degree of order,8,descriptor
paved paths,8,object
easy to perceive,8,descriptor
moderately coherent,8,descriptor
juxtaposition,8,descriptor
proper,8,descriptor
spatial relationships,8,descriptor
uneven,8,descriptor
clear delineation,8,descriptor
fragmented,8,descriptor
repetition,8,descriptor
construction debris,8,object
overall coherence,8,descriptor
bridge,8,object
bordering,7,descriptor
uniformity,7,descriptor
organized structure,7,descriptor
seamless organization,7,descriptor
discernible pattern,7,descriptor
modern buildings,7,object
easily understood,7,descriptor
apartment buildings,7,object
traffic cones,7,object
monotonous,7,descriptor
purpose,7,descriptor
moderate level of coherence,7,descriptor
strong,7,descriptor
parked cars,7,object
unified,7,descriptor
understanding,7,descriptor
clear arrangement,7,descriptor
sports court,7,object
urban infrastructure,7,object
street lamps,7,object
logically placed,7,descriptor
prominent,7,descriptor
consistent design,7,descriptor
architectural style,7,descriptor
pedestrian areas,7,object
flow,7,descriptor
building facades,7,object
different elements,7,descriptor
delineated,7,descriptor
paved pathways,7,object
symmetrical layout,7,descriptor
strong coherence,7,descriptor
uniformly planted,6,descriptor
everything has its place,6,descriptor
clean,6,descriptor
mix,6,descriptor
harmony,6,descriptor
visual experience,6,descriptor
terrain,6,object
organized placement,6,descriptor
high coherence,6,descriptor
sense of structure,6,descriptor
perfect sense of order,6,descriptor
discernible order,6,descriptor
lack of clear order,6,descriptor
easily navigable,6,descriptor
placement,6,descriptor
overall layout,6,descriptor
lines,6,object
neatly paved,6,descriptor
visual harmony,6,descriptor
intended,6,descriptor
scattering,6,descriptor
central,6,descriptor
lane dividers,6,object
disarray,6,descriptor
leaves,6,object
lake,6,object
understandable layout,6,descriptor
connected,5,descriptor
built environment,5,object
sidewalk,5,object
designed,5,descriptor
nature,5,object
urban environment,5,object
structured environment,5,descriptor
panoramic,5,descriptor
intentionally designed,5,descriptor
reasonable degree of coherence,5,descriptor
situated,5,descriptor
fallen leaves,5,object
wide,5,descriptor
mixed,5,descriptor
physical layout,5,descriptor
organized arrangement,5,descriptor
neatly organized,5,descriptor
distinct areas,5,descriptor
maintenance,5,descriptor
planted areas,5,object
sports courts,5,object
visually organized,5,descriptor
stadium,5,object
logical manner,5,descriptor
meticulously maintained,5,descriptor
good coherence,5,descriptor
logical flow,5,descriptor
aesthetically pleasing,5,descriptor
integration,5,descriptor
spatial layout,5,descriptor
transition,5,descriptor
cars,5,object
logically arranged,5,descriptor
construction elements,5,object
intentionally arranged,5,descriptor
ease,5,descriptor
area,5,object
fences,5,object
strong sense of coherence,5,descriptor
campus layout,5,object
pavement,5,object
urban elements,5,object
regular,5,descriptor
urban structures,5,object
intentionally placed,4,descriptor
high degree of order,4,descriptor
laid out,4,descriptor
roadways,4,object
contrast,4,descriptor
visual coherence,4,descriptor
easy comprehension,4,descriptor
easy navigation,4,descriptor
diverging,4,descriptor
walkway,4,object
bins,4,object
high degree of coherence,4,descriptor
landscaped,4,descriptor
chaotic,4,descriptor
planning,4,descriptor
underlying structure,4,descriptor
paving stones,4,object
clean lines,4,descriptor
water features,4,object
symmetrical placement,4,descriptor
physical order,4,descriptor
moderate score,4,descriptor
easy-to-understand,4,descriptor
linear arrangement,4,descriptor
parking,4,object
functional areas,4,object
designated parking areas,4,object
surrounding,4,descriptor
complex,4,descriptor
urban setting,4,object
organizational,4,descriptor
moderate degree of order,4,descriptor
yellow lines,4,object
clearly delineated,4,descriptor
ease of navigation,4,descriptor
comprehensible,4,descriptor
trimmed,4,descriptor
well-integrated,4,descriptor
visual orderliness,4,descriptor
repeating,4,descriptor
construction zone,4,object
markings,4,object
overall impression,4,descriptor
regularly spaced,4,descriptor
structured arrangement,4,descriptor
structured appearance,4,descriptor
easily discernible,4,descriptor
urban layout,4,descriptor
orderly placement,4,descriptor
urban planning,4,descriptor
organized design,4,descriptor
predictable arrangement,4,descriptor
neatly laid out,4,descriptor
not perfectly seamless,4,descriptor
fencing,4,object
pedestrian crossings,4,object
planters,4,object
sports field,4,object
tree lines,4,object
logical layout,4,descriptor
varying,4,descriptor
intuitive,3,descriptor
overall organization,3,descriptor
physical coherence,3,descriptor
water feature,3,object
disruption,3,descriptor
vehicular paths,3,object
calm,3,descriptor
planted trees,3,object
reasonably organized,3,descriptor
water,3,object
well-managed,3,descriptor
uniformly structured,3,descriptor
planned development,3,object
tree-lined roads,3,object
logical structure,3,descriptor
consistent planting,3,descriptor
consistent spacing,3,descriptor
interspersed,3,descriptor
unified organization,3,descriptor
haphazard,3,descriptor
campus street,3,object
visual organization,3,descriptor
easy understanding,3,descriptor
logical placement,3,descriptor
natural flow,3,descriptor
symmetrical arrangement,3,descriptor
construction site,3,object
general organization,3,descriptor
manicured areas,3,object
harmoniously arranged,3,descriptor
high coherence score,3,descriptor
clear boundaries,3,descriptor
moderately easy,3,descriptor
built,3,descriptor
flanked,3,descriptor
landmarks,3,object
appropriate,3,descriptor
place,3,descriptor
design,3,descriptor
comprehend,3,descriptor
construction,3,object
streetscape,3,object
urban,3,descriptor
ground,3,object
parking spots,3,object
discernible flow,3,descriptor
paved path,3,object
urban layout,3,object
intended places,3,descriptor
parking bays,3,object
temporary,3,descriptor
road layouts,3,object
disconnected,3,descriptor
organized manner,3,descriptor
less cohesive,3,descriptor
comprehension,3,descriptor
