keyword,count,type
buildings,37,object
pathways,26,object
trees,24,object
organized,22,descriptor
sidewalks,18,object
clear,18,descriptor
sense of order,16,descriptor
landscaping,13,object
greenery,12,object
coherence,12,descriptor
orderly,12,descriptor
road,12,object
structured,12,descriptor
roads,9,object
well-defined,9,descriptor
organization,9,descriptor
easy to understand,8,descriptor
consistent,7,descriptor
clearly defined,7,descriptor
predictability,7,descriptor
street,6,object
proper place,6,descriptor
well-maintained,6,descriptor
planned,6,descriptor
spatial arrangement,5,descriptor
neatly trimmed,5,descriptor
logical,5,descriptor
distinct,5,descriptor
street layout,5,object
parking areas,5,object
predictable,5,descriptor
manicured,5,descriptor
order,5,descriptor
arrangement,4,descriptor
grassy areas,4,object
consistent architectural style,4,descriptor
green spaces,4,object
canal,4,object
clear organization,4,descriptor
clear sense of order,3,descriptor
clear layout,3,descriptor
paved roads,3,object
symmetrical,3,descriptor
integrated,3,descriptor
intentional,3,descriptor
streetlights,3,object
easily understandable,3,descriptor
designated place,3,descriptor
systematic,3,descriptor
strong sense of order,3,descriptor
well-structured,3,descriptor
clear organizational structure,3,descriptor
well-organized,3,descriptor
well-planned,2,descriptor
architectural styles,2,object
visual harmony,2,descriptor
designated,2,descriptor
modern,2,descriptor
everything has its place,2,descriptor
planned development,2,descriptor
road markings,2,object
neatly arranged,2,descriptor
arranged,2,descriptor
symmetrical layout,2,descriptor
urban planning,2,descriptor
easy to navigate,2,descriptor
understandable,2,descriptor
landscaped areas,2,object
hedges,2,object
water features,2,object
natural,2,descriptor
bushes,2,object
defined,2,descriptor
intended place,2,descriptor
paths,2,object
clear structure,2,descriptor
shrubs,2,object
discernible pattern,2,descriptor
intersection,2,object
layout,2,descriptor
clear delineation,2,descriptor
streets,2,object
understandability,2,descriptor
designated places,2,descriptor
easy navigation,2,descriptor
visual order,2,descriptor
urban planning logic,1,descriptor
consistent maintenance,1,descriptor
understandable layout,1,descriptor
arrangement of the space,1,descriptor
good coherence,1,descriptor
comprehend,1,descriptor
complements,1,descriptor
grounds,1,object
vegetation,1,object
integration,1,descriptor
pedestrian walkway,1,object
moderately high,1,descriptor
railings,1,object
building structures,1,object
deliberate,1,descriptor
green areas,1,object
sidewalk,1,object
neatly aligned,1,descriptor
coherent,1,descriptor
infrastructure,1,object
parallel,1,descriptor
harmonious,1,descriptor
street lamps,1,object
ease,1,descriptor
structured manner,1,descriptor
paved areas,1,object
varied,1,descriptor
bicycles,1,object
landscaped zones,1,object
body of water,1,object
easy to comprehend,1,descriptor
mix of built and natural environments,1,descriptor
clear arrangement,1,descriptor
modern buildings,1,object
stone railings,1,object
water,1,object
overall layout,1,descriptor
harmony,1,descriptor
marked spaces,1,object
neatly integrated,1,descriptor
tree lines,1,object
high degree of order,1,descriptor
uniformly constructed,1,descriptor
lines,1,object
clean,1,descriptor
meticulously maintained,1,descriptor
parking lot,1,object
navigate,1,descriptor
neatly lined,1,descriptor
easy comprehension,1,descriptor
spatial organization,1,descriptor
urban development,1,object
physical arrangement,1,descriptor
lanes,1,object
comprehension,1,descriptor
discernible order,1,descriptor
sense of organization,1,descriptor
walkways,1,object
logical organization,1,descriptor
scooters,1,object
systematic layout,1,descriptor
designated parking areas,1,object
good degree of order,1,descriptor
neat,1,descriptor
parking,1,object
traffic cones,1,object
architectural style,1,object
easy understanding,1,descriptor
clear physical arrangement,1,descriptor
intentionally placed,1,descriptor
campus,1,object
navigate mentally,1,descriptor
orderly fashion,1,descriptor
roundabout,1,object
bike lanes,1,object
planned environment,1,descriptor
neatly organized,1,descriptor
paved pathways,1,object
cohesive,1,descriptor
repetition,1,descriptor
deliberate design,1,descriptor
visual coherence,1,descriptor
physical coherence,1,descriptor
easy-to-understand,1,descriptor
structured planting,1,descriptor
building alignments,1,object
borders,1,object
statue,1,object
open grassy areas,1,object
tidiness,1,descriptor
organized arrangement,1,descriptor
sports area,1,object
sculpture,1,object
easy,1,descriptor
high degree of coherence,1,descriptor
symmetrical placement,1,descriptor
neatly planted,1,descriptor
visual flow,1,descriptor
deliberate planning,1,descriptor
coherent environment,1,descriptor
functional areas,1,descriptor
clear separation,1,descriptor
clear order,1,descriptor
pedestrian paths,1,object
parking lots,1,object
paved walkways,1,object
low-rise buildings,1,object
easy to follow,1,descriptor
natural elements,1,descriptor
urban architecture,1,object
grass,1,object
parked vehicles,1,object
intentional design,1,descriptor
building designs,1,object
consistent landscaping,1,descriptor
uniform architectural style,1,descriptor
high coherence score,1,descriptor
predictable arrangement,1,descriptor
aligned,1,descriptor
calm,1,descriptor
uniform,1,descriptor
strong coherence,1,descriptor
building facades,1,object
evenly spaced,1,descriptor
structured environment,1,descriptor
uniformly structured,1,descriptor
proper places,1,descriptor
