keyword,count,type
buildings,27,object
organized,23,descriptor
clear,20,descriptor
trees,16,object
pathways,16,object
greenery,15,object
structured,9,descriptor
arrangement,9,descriptor
roads,8,object
proper place,8,descriptor
coherence,8,descriptor
landscaping,7,object
street,6,object
sense of order,6,descriptor
orderly,6,descriptor
road,6,object
sidewalks,5,object
materials,5,object
scattered,4,descriptor
debris,4,object
clear order,4,descriptor
pathway,4,object
lack of clear order,4,descriptor
disorganized,4,descriptor
parking areas,4,object
landscape,4,object
functional,4,descriptor
well-defined,4,descriptor
planned,4,descriptor
order,4,descriptor
integrated,4,descriptor
clear sense of order,3,descriptor
neatly maintained,3,descriptor
strong sense,3,descriptor
paved areas,3,object
degree of order,3,descriptor
disjointed,3,descriptor
street layout,3,object
organization,3,descriptor
coherent,3,descriptor
designated,3,descriptor
predictable,3,descriptor
monotonous,3,descriptor
consistent,3,descriptor
vegetation,3,object
moderate,2,descriptor
easy to understand,2,descriptor
terrain,2,object
orderly arrangement,2,descriptor
architecture,2,object
layout,2,descriptor
parking lot,2,object
bins,2,object
vehicles,2,object
uniform,2,descriptor
construction elements,2,object
moderately coherent,2,descriptor
industrial elements,2,object
mix,2,descriptor
building facades,2,object
green spaces,2,object
overall layout,2,descriptor
disarray,2,descriptor
logically placed,2,descriptor
traffic cones,2,object
utilitarian nature,2,descriptor
utilitarian,2,descriptor
clearly defined,2,descriptor
uniformly planted,2,descriptor
physical arrangement,2,descriptor
haphazard,2,descriptor
uneven,2,descriptor
well-maintained,2,descriptor
walkway,2,object
undergrowth,2,object
modern,2,descriptor
manicured,2,descriptor
intentional,2,descriptor
logical,2,descriptor
rightful place,1,descriptor
fences,1,object
planned structure,1,descriptor
neatly arranged,1,descriptor
fragmented,1,descriptor
linear structure,1,descriptor
overall organization,1,descriptor
orderly placement,1,descriptor
strong feeling,1,descriptor
chaotic arrangement,1,descriptor
orderly environment,1,descriptor
visual,1,descriptor
minor disarray,1,descriptor
comprehensibility,1,descriptor
organized layout,1,descriptor
clean lines,1,descriptor
less manicured,1,descriptor
paved walkway,1,object
clear divisions,1,descriptor
clear arrangement,1,descriptor
structured manner,1,descriptor
orderliness,1,descriptor
logical placement,1,descriptor
sense of coherence,1,descriptor
paved roads,1,object
construction zone,1,object
rubble,1,object
disrupt,1,descriptor
traffic management,1,descriptor
visual disarray,1,descriptor
well-organized,1,descriptor
building styles,1,object
roadside,1,object
complex,1,descriptor
untidy,1,descriptor
lack of organization,1,descriptor
ongoing disruption,1,descriptor
prominent,1,descriptor
intersection,1,object
perfect sense of organization,1,descriptor
grass,1,object
unmanaged,1,descriptor
deliberate design,1,descriptor
harmonious order,1,descriptor
perfect coherence,1,descriptor
flow,1,descriptor
dense,1,descriptor
lining,1,descriptor
marked parking spaces,1,object
sports field,1,object
clear lines of sight,1,descriptor
repetition,1,descriptor
smoother,1,descriptor
identical,1,descriptor
lack of prominent,1,descriptor
visually balanced,1,descriptor
naturalized,1,descriptor
clearly defines,1,descriptor
path,1,object
basic layout,1,descriptor
deeply organized,1,descriptor
functional zones,1,object
interconnected system,1,descriptor
apartment buildings,1,object
'proper place',1,descriptor
parking spaces,1,object
seamless organization,1,descriptor
defined,1,descriptor
lack of diverse features,1,descriptor
clear central focus,1,descriptor
moderate coherence,1,descriptor
haphazard arrangement,1,descriptor
less coherent,1,descriptor
landmarks,1,object
clear structure,1,descriptor
architectural elements,1,object
placement,1,descriptor
placed,1,descriptor
spatial organization,1,descriptor
visual consistency,1,descriptor
absence of unique features,1,descriptor
deeply understandable,1,descriptor
environment,1,object
areas,1,object
sports courts,1,object
logical flow,1,descriptor
paved walkways,1,object
deliberate placement,1,descriptor
deliberate,1,descriptor
benches,1,object
scattered placement,1,descriptor
lampposts,1,object
neat rows,1,descriptor
distinct areas,1,descriptor
meticulously maintained,1,descriptor
residential building,1,object
symmetrical layout,1,descriptor
commercial building,1,object
designated place,1,descriptor
underlying structure,1,descriptor
planned design,1,descriptor
sense of structure,1,descriptor
unified organization,1,descriptor
symmetrical,1,descriptor
unfinished elements,1,object
spatial arrangement,1,descriptor
harmonious design,1,descriptor
well-organized environment,1,descriptor
paved pathway,1,object
shrubs,1,object
linear organization,1,descriptor
dominant element,1,descriptor
flanked,1,descriptor
placed within the landscape,1,descriptor
distinct,1,descriptor
construction materials,1,object
natural elements,1,object
man-made elements,1,object
disordered,1,descriptor
different components,1,descriptor
lack of intentional design,1,descriptor
paved pathways,1,object
neatly planted,1,descriptor
overall arrangement,1,descriptor
moderately clear,1,descriptor
building structures,1,object
intentional design,1,descriptor
intended place,1,descriptor
natural place,1,descriptor
disjointed appearance,1,descriptor
apparent,1,descriptor
basic,1,descriptor
varied,1,descriptor
natural,1,descriptor
intricate,1,descriptor
strong,1,descriptor
inherent,1,descriptor
nature,1,object
urban structures,1,object
juxtaposed,1,descriptor
discernible,1,descriptor
understandability,1,descriptor
paths,1,object
neat,1,descriptor
bushes,1,object
neatly trimmed,1,descriptor
natural order,1,descriptor
intentionally designed,1,descriptor
clear lines,1,descriptor
boundaries,1,descriptor
industrial building,1,object
cell tower,1,object
grassy areas,1,object
