keyword,type,count
buildings,object,2081
trees,object,1741
greenery,object,1071
pathways,object,998
road,object,794
roads,object,645
clear,descriptor,603
organized,descriptor,584
visual interest,descriptor,556
sidewalks,object,542
street,object,475
landscaping,object,389
orderly,descriptor,326
structured,descriptor,299
green spaces,object,297
well-maintained,descriptor,291
exploration,descriptor,288
visible,descriptor,281
limited,descriptor,279
escape,descriptor,274
moderate,descriptor,267
functional,descriptor,266
open,descriptor,256
urban,descriptor,247
boundaries,descriptor,240
parked cars,object,233
natural,descriptor,233
coherence,descriptor,233
refuge,descriptor,229
movement,descriptor,228
sense of order,descriptor,220
well-defined,descriptor,217
captivating,descriptor,213
consistent,descriptor,193
distance,descriptor,189
uniform,descriptor,185
expansive,descriptor,177
cars,object,175
modern,descriptor,168
separation,descriptor,166
manicured,descriptor,165
calm,descriptor,162
planned,descriptor,155
repetitive,descriptor,154
pleasant,descriptor,151
paths,object,149
vastness,descriptor,147
vehicles,object,147
distant,descriptor,143
modern buildings,object,142
openness,descriptor,140
varied,descriptor,137
wide,descriptor,137
pathway,object,134
quiet,descriptor,133
sky,object,133
campus,object,133
defined,descriptor,131
arrangement,descriptor,130
predictability,descriptor,124
easy to understand,descriptor,123
path,object,119
order,descriptor,117
peaceful,descriptor,115
extends,descriptor,114
natural elements,descriptor,112
environment,object,111
clean,descriptor,110
modern architecture,object,108
distinct,descriptor,108
respite,descriptor,107
contained,descriptor,107
building,object,106
architecture,object,104
parking areas,object,100
limit,descriptor,99
engaging,descriptor,98
discovery,descriptor,97
organization,descriptor,97
daily demands,descriptor,94
logical,descriptor,91
open spaces,object,90
unique,descriptor,90
potential,descriptor,89
potential for exploration,descriptor,89
surrounding,descriptor,88
detachment,descriptor,87
immediate,descriptor,86
parked vehicles,object,86
landscape,object,85
paved areas,object,84
grassy areas,object,84
bicycles,object,83
proper place,descriptor,82
repetition,descriptor,82
streetlights,object,81
canal,object,81
boredom,descriptor,79
fences,object,78
predictable,descriptor,78
multiple,descriptor,78
layout,descriptor,77
infrastructure,object,77
street layout,object,75
multiple directions,descriptor,75
paved roads,object,75
active,descriptor,75
integrated,descriptor,74
monotonous,descriptor,72
neatly trimmed,descriptor,71
tranquil,descriptor,71
natural elements,object,71
vast,descriptor,69
limiting,descriptor,69
clearly defined,descriptor,69
variety,descriptor,69
ample,descriptor,68
green areas,object,68
boundless,descriptor,67
bushes,object,65
mature trees,object,63
parking lot,object,63
water,object,62
residential buildings,object,61
urban infrastructure,object,60
extensive,descriptor,60
nuisances,descriptor,59
visible boundaries,descriptor,59
grass,object,58
mental escape,descriptor,57
scattered,descriptor,57
spatial arrangement,descriptor,56
lush,descriptor,55
diverse,descriptor,55
hedges,object,55
streets,object,55
coherent,descriptor,54
moderately fascinating,descriptor,54
extending,descriptor,53
possibilities,descriptor,53
utilitarian,descriptor,53
absence,descriptor,52
overcast,descriptor,51
break,descriptor,51
evenly spaced,descriptor,51
serene,descriptor,50
well-organized,descriptor,50
urban setting,descriptor,49
large,descriptor,49
bordered,descriptor,49
clear separation,descriptor,49
designated place,descriptor,49
understandable,descriptor,48
uniformity,descriptor,47
clear boundaries,descriptor,46
architectural elements,object,46
road markings,object,46
urban nuisances,descriptor,45
moderate level of fascination,descriptor,45
clear order,descriptor,45
clear organization,descriptor,45
departure,descriptor,45
neat,descriptor,45
traffic,object,44
urban street,object,44
boundaries,object,44
greenery,descriptor,44
clear sense of order,descriptor,44
vegetation,object,44
area,object,43
sense of escape,descriptor,43
demands,descriptor,43
intentional,descriptor,43
freedom,descriptor,42
daily routines,descriptor,42
different directions,descriptor,42
not vast,descriptor,42
foliage,object,41
boundless exploration,descriptor,41
structure,descriptor,40
landscaped areas,object,40
winding,descriptor,40
neatly arranged,descriptor,40
secluded,descriptor,39
elements,object,39
straight,descriptor,39
debris,object,39
mental detachment,descriptor,39
linear,descriptor,39
visually engaging,descriptor,39
neatly maintained,descriptor,38
abundant,descriptor,38
interesting,descriptor,38
dynamic,descriptor,38
areas,object,38
overall impression,descriptor,37
extensive exploration,descriptor,37
urban setting,object,36
institutional,descriptor,36
nature,object,35
structures,object,35
traffic cones,object,35
prominent,descriptor,35
fascination,descriptor,35
long,descriptor,35
accessible,descriptor,35
tree-lined street,object,35
lake,object,35
campus,descriptor,34
hills,object,34
everyday demands,descriptor,34
moderately engaging,descriptor,34
ordered,descriptor,34
larger,descriptor,33
scope,descriptor,33
calm atmosphere,descriptor,33
arranged,descriptor,33
streetscape,object,33
easy to comprehend,descriptor,32
dense,descriptor,32
opportunities,descriptor,32
parking spaces,object,32
sustained attention,descriptor,32
numerous,descriptor,31
everyday concerns,descriptor,31
constrained,descriptor,31
typical,descriptor,31
complete escape,descriptor,31
defined boundaries,descriptor,31
paved,descriptor,30
paved road,object,30
lanes,object,30
modern building,object,30
confined,descriptor,30
construction,object,30
potential escape,descriptor,30
removed,descriptor,30
moderate fascination,descriptor,30
framed,descriptor,29
apartment buildings,object,29
physical arrangement,descriptor,29
sense of openness,descriptor,29
building facades,object,29
lawns,object,29
building structures,object,29
clear organizational structure,descriptor,29
limits,descriptor,29
water body,object,29
abundance,descriptor,29
broad,descriptor,28
breadth,descriptor,28
mental break,descriptor,28
urban hustle,descriptor,28
people,object,28
paved pathways,object,28
open areas,object,28
depth,descriptor,27
urban context,descriptor,27
lush greenery,object,27
consistent architectural style,descriptor,27
extend,descriptor,26
body of water,object,26
well-planned,descriptor,26
minimal,descriptor,26
road layout,object,26
walkways,object,26
residential,descriptor,26
tree-lined,descriptor,26
quiet atmosphere,descriptor,26
tree-lined road,object,26
architectural styles,object,26
dynamic elements,descriptor,25
visual order,descriptor,25
institutional buildings,object,25
expanse,descriptor,25
unique features,descriptor,25
designated,descriptor,25
green,descriptor,25
intersection,object,24
dominant,descriptor,24
demanding,descriptor,24
paved paths,object,24
sense of organization,descriptor,24
possibility,descriptor,24
limitations,descriptor,24
everyday,descriptor,24
urban bustle,descriptor,24
degree of order,descriptor,24
daily nuisances,descriptor,24
many directions,descriptor,24
visually appealing,descriptor,24
immediate view,descriptor,24
managed,descriptor,23
engagement,descriptor,23
potential for movement,descriptor,23
novel,descriptor,23
leaves,object,23
contrast,descriptor,23
presence,descriptor,23
intricate details,descriptor,23
paved surfaces,object,23
detached,descriptor,23
intentional design,descriptor,23
spaciousness,descriptor,23
perceived,descriptor,23
sports court,object,22
distractions,descriptor,22
discernible,descriptor,22
proximity,descriptor,22
spatial organization,descriptor,22
tree-lined streets,object,22
strong,descriptor,22
adjacent,descriptor,22
construction debris,object,21
construction materials,object,21
mundane,descriptor,21
urban environment,descriptor,21
urban environment,object,21
architectural style,object,21
strong sense,descriptor,21
deliberate,descriptor,21
busy,descriptor,21
space,object,21
bored,descriptor,21
attention,descriptor,21
open space,descriptor,20
urban structures,object,20
symmetrical,descriptor,20
sports field,object,20
parking lots,object,20
immediate surroundings,descriptor,20
organized layout,descriptor,20
developed,descriptor,20
overcast sky,object,20
harmonious,descriptor,20
mental respite,descriptor,20
parked bicycles,object,19
road network,object,19
shrubs,object,19
strong sense of order,descriptor,19
dominated,descriptor,19
intriguing,descriptor,19
street lamps,object,19
connected,descriptor,19
true refuge,descriptor,19
being away,descriptor,19
