keyword,type,count
buildings,object,96
trees,object,66
greenery,object,57
pathways,object,30
road,object,29
roads,object,26
organized,descriptor,25
clear,descriptor,23
limited,descriptor,22
pathway,object,22
functional,descriptor,20
utilitarian,descriptor,17
street,object,17
visual interest,descriptor,16
exploration,descriptor,15
boundaries,descriptor,14
vehicles,object,14
movement,descriptor,12
natural,descriptor,12
expansive,descriptor,12
modern buildings,object,12
vastness,descriptor,12
monotonous,descriptor,11
structured,descriptor,11
moderate,descriptor,11
refuge,descriptor,11
open,descriptor,11
visible,descriptor,10
sidewalks,object,9
engaging,descriptor,9
arrangement,descriptor,9
urban,descriptor,9
repetitive,descriptor,9
cars,object,8
coherence,descriptor,8
uniform,descriptor,8
distance,descriptor,8
proper place,descriptor,8
debris,object,8
path,object,8
captivating,descriptor,8
orderly,descriptor,8
parked cars,object,8
active,descriptor,8
boredom,descriptor,7
parking areas,object,7
traffic cones,object,7
construction,object,7
visible boundaries,descriptor,7
fences,object,7
landscaping,object,7
parked vehicles,object,7
escape,descriptor,7
parking lot,object,7
materials,object,7
well-defined,descriptor,6
area,object,6
urban setting,descriptor,6
potential for exploration,descriptor,6
architecture,object,6
sense of order,descriptor,6
immediate,descriptor,6
respite,descriptor,6
scattered,descriptor,6
defined,descriptor,6
daily demands,descriptor,6
paved areas,object,6
walkway,object,6
construction materials,object,5
calm,descriptor,5
varied,descriptor,5
manicured,descriptor,5
open spaces,object,5
dense,descriptor,5
limiting,descriptor,5
nuisances,descriptor,5
urban setting,object,5
well-maintained,descriptor,5
environment,object,5
overall impression,descriptor,5
distant,descriptor,5
integrated,descriptor,5
peaceful,descriptor,5
contained,descriptor,5
structures,object,5
landscape,object,5
contrast,descriptor,4
confined,descriptor,4
limited visual interest,descriptor,4
lack of clear order,descriptor,4
order,descriptor,4
limit,descriptor,4
pleasant,descriptor,4
apartment buildings,object,4
planned,descriptor,4
quiet,descriptor,4
green spaces,object,4
repetition,descriptor,4
surrounding,descriptor,4
wide,descriptor,4
disorganized,descriptor,4
neatly maintained,descriptor,4
natural elements,descriptor,4
vegetation,object,4
natural elements,object,4
grassy areas,object,4
clear boundaries,descriptor,4
paths,object,4
clear order,descriptor,4
sky,object,4
extensive exploration,descriptor,4
modern architecture,object,4
distinct,descriptor,3
street layout,object,3
degree of order,descriptor,3
extensive,descriptor,3
intriguing,descriptor,3
freedom of movement,descriptor,3
extends,descriptor,3
structured environment,descriptor,3
daily routines,descriptor,3
sustained attention,descriptor,3
everyday demands,descriptor,3
detachment,descriptor,3
sense of space,descriptor,3
secluded,descriptor,3
strong sense,descriptor,3
designated,descriptor,3
industrial,descriptor,3
sports field,object,3
green areas,object,3
undergrowth,object,3
disarray,descriptor,3
sense of escape,descriptor,3
restorative,descriptor,3
industrial buildings,object,3
industrial elements,object,3
infrastructure,object,3
dominated,descriptor,3
extend,descriptor,3
everyday life,descriptor,3
unlikely,descriptor,3
disjointed,descriptor,3
open space,descriptor,3
paved walkways,object,3
building,object,3
coherent,descriptor,3
clear sense of order,descriptor,3
minimal,descriptor,3
vast,descriptor,3
cell tower,object,3
refuge,object,3
paved walkway,object,3
modern,descriptor,3
modern building,object,3
multiple directions,descriptor,3
paved,descriptor,3
parking spaces,object,3
long,descriptor,3
boundaries,object,3
visually engaging,descriptor,3
bicycles,object,3
not a refuge,descriptor,3
organization,descriptor,3
numerous,descriptor,3
ample,descriptor,3
winding,descriptor,3
accessible,descriptor,3
work-related,descriptor,3
openness,descriptor,3
plain,descriptor,3
limitations,descriptor,3
predictable,descriptor,3
consistent,descriptor,3
overcast sky,object,2
large,descriptor,2
overall layout,descriptor,2
overall scene,descriptor,2
open space,object,2
extending,descriptor,2
overcast,descriptor,2
interesting,descriptor,2
natural escape,descriptor,2
larger,descriptor,2
intentional,descriptor,2
