keyword,count,type
trees,670,object
visual interest,556,descriptor
buildings,376,object
greenery,327,object
captivating,212,descriptor
pathways,153,object
repetitive,153,descriptor
uniform,149,descriptor
well-maintained,141,descriptor
road,128,object
moderate,120,descriptor
natural,115,descriptor
pleasant,110,descriptor
varied,106,descriptor
modern architecture,104,object
engaging,98,descriptor
unique,89,descriptor
parked cars,79,object
boredom,79,descriptor
functional,75,descriptor
repetition,74,descriptor
modern buildings,71,object
modern,69,descriptor
architecture,68,object
monotonous,65,descriptor
variety,64,descriptor
natural elements,63,descriptor
landscaping,62,object
mature trees,61,object
bicycles,54,object
moderately fascinating,54,descriptor
sky,51,object
orderly,50,descriptor
roads,49,object
diverse,49,descriptor
distant,48,descriptor
moderate level of fascination,45,descriptor
limited,44,descriptor
distinct,43,descriptor
lush,43,descriptor
clear,40,descriptor
overcast,40,descriptor
street,40,object
visually engaging,39,descriptor
dynamic,38,descriptor
cars,37,object
uniformity,37,descriptor
interesting,37,descriptor
fascination,35,descriptor
clean,35,descriptor
urban,35,descriptor
parked vehicles,35,object
pathway,34,object
moderately engaging,34,descriptor
foliage,34,object
building,33,object
sustained attention,32,descriptor
organized,32,descriptor
vehicles,31,object
architectural elements,31,object
moderate fascination,30,descriptor
utilitarian,30,descriptor
sidewalks,29,object
greenery,28,descriptor
bushes,28,object
calm,26,descriptor
canal,26,object
paved areas,25,object
dynamic elements,25,descriptor
winding,25,descriptor
green spaces,25,object
paths,24,object
manicured,24,descriptor
lush greenery,24,object
unique features,24,descriptor
novel,23,descriptor
intricate details,23,descriptor
numerous,22,descriptor
parking lot,22,object
engagement,22,descriptor
bored,21,descriptor
attention,21,descriptor
tree-lined street,20,object
path,20,object
dominant,20,descriptor
prevent boredom,19,descriptor
intriguing,19,descriptor
grass,19,object
open,18,descriptor
building facades,18,object
capture attention,18,descriptor
modern building,18,object
visually appealing,18,descriptor
varied textures,17,descriptor
striking,17,descriptor
streetscape,17,object
leaves,17,object
structured,17,descriptor
hard to be bored,17,descriptor
traffic cones,17,object
inherent fascination,16,descriptor
water,16,object
order,16,descriptor
limited visual interest,16,descriptor
consistent,16,descriptor
streetlights,15,object
people,15,object
windows,15,object
large,15,descriptor
neatly trimmed,15,descriptor
parked bicycles,15,object
overcast sky,15,descriptor
