image_path,text
.\image\201603_120.2605148_31.48859388.png,"This image could taken in Spring. The image displays a wide, outdoor sports facility with multiple basketball courts surrounded by fencing. To the left, there is dense greenery and distant hills under a clear sky. On the right is a small concrete building with a telecommunications tower nearby, along with a paved open area. In the far background, urban buildings are visible, creating a contrast between nature and urbanization. The area appears clean and well-maintained, reflecting a multi-purpose recreational or school environment. The bright daylight enhances the expansive, open atmosphere. The restorative indicator scores are:
- Being-away: 0.09089
- Coherence: 0.08337
- Scope: 0.56219
- Fascination: 0.48204
- Average Score: 0.30462"
.\image\201603_120.2609266_31.49268787.png,"This image could taken in Spring. This street view captures a quiet, tree-lined road under a sunny, clear sky. The well-maintained street is bordered by wide pedestrian pathways paved with tiles, and neatly planted trees with painted white bases. The left side features a green hedge, while the right side reveals an open area with sparse trees and a small white structure, possibly a security or utility building, enclosed by fencing. The scene appears calm with no visible pedestrians, and a yellow dividing road line runs down the center. The overall environment suggests a suburban or park-like setting, highlighting its clean and organized surroundings. The restorative indicator scores are:
- Being-away: 0.66578
- Coherence: 0.64964
- Scope: 0.10823
- Fascination: 0.47909
- Average Score: 0.47568"
.\image\201603_120.2606181_31.48918141.png,"This image could taken in Spring. This panoramic street view showcases a large outdoor recreational area. Central to the image are multiple basketball courts with red and green surfaces, surrounded by railings. The sky is clear with minimal clouds, and the distant horizon features hills and scattered greenery. On either side of the courts, there are pathways lined with trees and blooming shrubs with purple flowers. To the right, modern buildings and a grassy field are visible, while a bicycle is parked nearby. The area is clean, spacious, and serene, ideal for sports and leisure activities. The perspective suggests it is part of a campus or park. The restorative indicator scores are:
- Being-away: 0.40225
- Coherence: 0.09675
- Scope: 0.81974
- Fascination: 0.58624
- Average Score: 0.47624"
.\image\201603_120.2595622_31.49095628.png,"This image could taken in Spring. The image showcases a serene street flanked by lush greenery and water features, possibly in a park or campus. On the left, a tree-lined pathway leads to a tranquil setting, while to the right, a calm river flows alongside a stone railing. Buildings peek through the foliage, adding an urban touch to the peaceful environment. The sky is bright with scattered clouds, and the road is clean with light traffic. Paved walkways enhance the pedestrian-friendly atmosphere, complemented by orderly trees and shrubs. The setting exudes harmony, blending nature with infrastructure seamlessly. The restorative indicator scores are:
- Being-away: 0.54055
- Coherence: 0.75650
- Scope: 0.56343
- Fascination: 0.54132
- Average Score: 0.60045"
.\image\201603_120.2602734_31.49024993.png,"This image could taken in Spring. This street view shows a quiet, tree-lined road with minimal traffic. The road is flanked by shaded sidewalks and neatly arranged trees with white-painted trunks, suggesting care for urban aesthetics. The paved sidewalks feature small patches of greenery and shrubs. The overall atmosphere is serene, with natural light filtering through the trees, creating a pleasant and orderly environment, likely in a suburban or park-like setting. Nearby, open spaces with sparse foliage are visible, and the sky appears clear and sunny. This scene reflects well-maintained urban planning focused on greenery and tranquility. The restorative indicator scores are:
- Being-away: 0.72836
- Coherence: 0.64915
- Scope: 0.09855
- Fascination: 0.58427
- Average Score: 0.51508"
.\image\201603_120.2619536_31.48772681.png,"This image could taken in Spring. This street view depicts a quiet, semi-rural area with a paved road bordered by sparse trees and patches of grassland. To the left, there is a row of single-story buildings with bare young trees alongside. On the right, more trees are scattered across an open, slightly uneven landscape with dense greenery in the background. Street lamps line both sides of the road. The sky is lightly overcast, and a small vehicle with branding is parked on the right. A few distant structures and buildings are visible near the horizon, suggesting a transition between natural and urban environments. The restorative indicator scores are:
- Being-away: 0.11411
- Coherence: 0.26482
- Scope: 0.35911
- Fascination: 0.10675
- Average Score: 0.21120"
.\image\201603_120.2622856_31.4894839.png,"This image could taken in Spring. This street view showcases a peaceful urban area with symmetrical roads surrounded by low-rise apartment buildings, trees, and organized bicycle parking. A central pathway divides the scene, leading to residences with green spaces. Bicycles and parked motorbikes line the sidewalks, indicating a pedestrian-friendly environment. A cyclist is visible riding along the road, contributing to the tranquil atmosphere. The sky is overcast with soft lighting, highlighting the orderly layout and minimal traffic. The well-maintained buildings and public spaces suggest this might be a residential or campus area, emphasizing community and convenience. The restorative indicator scores are:
- Being-away: 0.32729
- Coherence: 0.40039
- Scope: 0.49041
- Fascination: 0.38410
- Average Score: 0.40055"
.\image\201603_120.2619012_31.48919953.png,"This image could taken in Spring. This street view image shows a spacious area flanked by parked bicycles and scooters on both sides of a paved road. The road runs straight with young trees lining its edges. On the left, sports fields are visible, enclosed by a fence, with distant players or students. Further in the background, a large multi-story building likely serves as a school or campus facility. The right side features additional parking areas, greenery, and modern structures. The setting has a clean, organized layout with a mix of urban and natural elements, under a slightly overcast sky. The space appears calm and functional. The restorative indicator scores are:
- Being-away: 0.10541
- Coherence: 0.10928
- Scope: 0.35944
- Fascination: 0.09407
- Average Score: 0.16705"
.\image\201603_120.2615614_31.48120575.png,"This image could taken in Spring. This street view presents a quiet urban area bordered by green landscaping and modern buildings with large glass windows. Two narrow roads diverge, flanked by young trees, shrubs, and manicured grass. A small stream is visible near the center, adding a natural element to the scene. The horizon displays a stretch of open terrain and forest, with hills faintly visible in the distance under a partly cloudy sky. The atmosphere feels calm and slightly rural despite the surrounding infrastructure. A white car’s roof is noticeable in the foreground, suggesting a vehicle-mounted perspective for the image. The restorative indicator scores are:
- Being-away: 0.60409
- Coherence: 0.46500
- Scope: 0.42599
- Fascination: 0.65531
- Average Score: 0.53760"
.\image\201603_120.2623923_31.4896804.png,"This image could taken in Spring. This image captures a residential area with wide, clean streets flanked by apartment buildings and green spaces. The left side features a pathway with streetlights and trees, while the right side includes parked scooters and more trees surrounded by grass. Several individuals are cycling along the road, creating an active and pleasant ambiance. The buildings are white and modern, numbered for identification, with a spacious layout. The background reveals additional greenery and distant structures, under a bright sky with minimal clouds. The image reflects a quiet suburban environment with well-maintained surroundings, blending urban living with natural elements. The restorative indicator scores are:
- Being-away: 0.32604
- Coherence: 0.46621
- Scope: 0.35743
- Fascination: 0.38377
- Average Score: 0.38336"
