keyword,count,type
buildings,670,object
road,372,object
pathways,363,object
exploration,278,descriptor
trees,262,object
boundaries,239,descriptor
movement,227,descriptor
open,223,descriptor
limited,218,descriptor
roads,209,object
street,209,object
greenery,201,object
visible,192,descriptor
distance,179,descriptor
expansive,171,descriptor
vastness,147,descriptor
sidewalks,145,object
openness,137,descriptor
extends,114,descriptor
wide,113,descriptor
contained,106,descriptor
defined,100,descriptor
discovery,96,descriptor
green spaces,96,object
limit,94,descriptor
distant,78,descriptor
potential for exploration,76,descriptor
surrounding,76,descriptor
multiple directions,73,descriptor
path,73,object
paths,72,object
fences,70,object
immediate,69,descriptor
potential,69,descriptor
vast,68,descriptor
limiting,68,descriptor
boundless,67,descriptor
multiple,67,descriptor
moderate,64,descriptor
clear,63,descriptor
campus,61,object
visible boundaries,59,descriptor
possibilities,53,descriptor
pathway,53,object
extensive,52,descriptor
extending,52,descriptor
sky,51,object
ample,50,descriptor
grassy areas,49,object
green areas,48,object
open spaces,44,object
clear boundaries,43,descriptor
boundaries,43,object
freedom,42,descriptor
parked cars,42,object
not vast,42,descriptor
different directions,41,descriptor
boundless exploration,41,descriptor
extensive exploration,37,descriptor
area,37,object
bordered,36,descriptor
structured,34,descriptor
scope,33,descriptor
landscape,33,object
larger,32,descriptor
urban,32,descriptor
environment,32,object
constrained,31,descriptor
opportunities,31,descriptor
defined boundaries,31,descriptor
confined,30,descriptor
landscaping,29,object
sense of openness,29,descriptor
areas,29,object
large,29,descriptor
framed,29,descriptor
overall impression,28,descriptor
open areas,28,object
breadth,28,descriptor
linear,28,descriptor
broad,27,descriptor
extend,26,descriptor
long,26,descriptor
limitations,24,descriptor
possibility,24,descriptor
immediate view,24,descriptor
many directions,24,descriptor
limits,24,descriptor
expanse,23,descriptor
spaciousness,23,descriptor
depth,23,descriptor
perceived,23,descriptor
potential for movement,22,descriptor
paved areas,22,object
hills,21,object
urban infrastructure,20,object
adjacent,20,descriptor
parking areas,20,object
possibilities for movement,19,descriptor
dense,19,descriptor
straight,19,descriptor
unbounded,19,descriptor
perceived scope,19,descriptor
structures,19,object
restricted,19,descriptor
perceived boundaries,19,descriptor
moderate sense of scope,18,descriptor
visible extent,18,descriptor
open space,18,descriptor
larger area,18,descriptor
moderate scope,18,descriptor
extensive exploration possibilities,18,descriptor
canal,17,object
limited scope,17,descriptor
not expansive,17,descriptor
presence,17,descriptor
immediate surroundings,17,descriptor
freedom of movement,17,descriptor
continuous,16,descriptor
functional,16,descriptor
building,16,object
visual cues,16,descriptor
streets,16,object
larger environment,15,descriptor
parking lot,15,object
visual boundaries,15,descriptor
vegetation,15,object
stretching,15,descriptor
natural,15,descriptor
infrastructure,15,object
extends into the distance,15,descriptor
spaces,14,object
discover,14,descriptor
manicured,14,descriptor
extent,14,descriptor
pleasant,14,descriptor
visible area,14,descriptor
visual depth,14,descriptor
restrict,14,descriptor
expansiveness,13,descriptor
organized,13,descriptor
broader,13,descriptor
enclosed,12,descriptor
cars,12,object
limitless exploration,12,descriptor
road network,12,object
various directions,12,descriptor
sense of exploration,12,descriptor
implicit boundaries,12,descriptor
not overly confined,12,descriptor
layout,12,descriptor
lake,12,object
sense of space,11,descriptor
curving,11,descriptor
vehicles,11,object
reasonable scope,11,descriptor
clearly defined,11,descriptor
stretches,11,descriptor
explore,11,descriptor
opportunities for exploration,11,descriptor
feeling of boundless exploration,11,descriptor
expansive possibilities,11,descriptor
moderately expansive,11,descriptor
move about,11,descriptor
unlimited exploration,11,descriptor
opportunities for movement,11,descriptor
ample space,10,descriptor
water,10,object
campus area,10,object
further exploration,10,descriptor
view,10,descriptor
built environment,10,object
possibility for exploration,10,descriptor
sense of vastness,10,descriptor
urban context,10,descriptor
tree-lined,10,descriptor
bordering,10,descriptor
varied,10,descriptor
unbounded exploration,10,descriptor
various,10,descriptor
water body,9,object
immediate area,9,descriptor
apparent,9,descriptor
possibilities for exploration,9,descriptor
potential exploration,9,descriptor
horizon,9,object
urban setting,9,object
extensive movement,9,descriptor
flanked,9,descriptor
vista,9,object
space,9,descriptor
explorable,9,descriptor
broad exploration,9,descriptor
continuation,9,descriptor
open spaces,9,descriptor
body of water,9,object
curbs,9,object
winding,9,descriptor
intersection,9,object
few immediate boundaries,8,descriptor
urban context,8,object
wander,8,descriptor
numerous,8,descriptor
exploration possibilities,8,descriptor
possibility for movement,8,descriptor
boundless possibilities,8,descriptor
limitless,8,descriptor
visual expanse,8,descriptor
parking lots,8,object
well-defined,8,descriptor
restricts,8,descriptor
numerous directions,8,descriptor
vistas,8,object
dominated,8,descriptor
perception,8,descriptor
natural elements,7,object
tree line,7,object
moderately sized,7,descriptor
implied boundaries,7,descriptor
expansive exploration,7,descriptor
managed,7,descriptor
built environment,7,descriptor
overall layout,7,descriptor
not vastness,7,descriptor
directions,7,descriptor
sidewalk,7,object
sense of freedom,7,descriptor
journey,7,descriptor
decent,7,descriptor
bounded,7,descriptor
forks,7,descriptor
freely,7,descriptor
barriers,7,object
urban street,7,object
lined,7,descriptor
urban area,7,object
parked vehicles,7,object
limitless exploration possibilities,7,descriptor
extending into the distance,7,descriptor
space,7,object
density,7,descriptor
landscaped areas,7,object
walkways,7,object
strong sense,7,descriptor
clear sightlines,7,descriptor
residential,7,descriptor
implied,7,descriptor
structured environment,7,descriptor
limitless possibilities,7,descriptor
not extensive,6,descriptor
hedges,6,object
confinement,6,descriptor
unexplored,6,descriptor
unrestricted exploration,6,descriptor
intersecting,6,descriptor
perceived possibilities,6,descriptor
urban setting,6,descriptor
vast expanse,6,descriptor
walk,6,descriptor
expansive movement,6,descriptor
planned,6,descriptor
extend into the distance,6,descriptor
pathways,6,descriptor
curves,6,descriptor
cityscape,6,object
feeling of openness,6,descriptor
surroundings,6,object
defined limits,6,descriptor
sports courts,6,object
branching,6,descriptor
immediate foreground,6,descriptor
considerable,6,descriptor
prominent,6,descriptor
vista,6,descriptor
lower score,6,descriptor
subtle boundaries,6,descriptor
spacious,6,descriptor
possibility of exploration,6,descriptor
explored,6,descriptor
tree-lined road,6,object
feeling of vastness,6,descriptor
broad view,6,descriptor
overall,5,descriptor
reasonable,5,descriptor
containment,5,descriptor
natural landscape,5,descriptor
institutional,5,descriptor
capacity for exploration,5,descriptor
paved area,5,object
room to move,5,descriptor
different parts,5,descriptor
fence,5,object
immediate boundaries,5,descriptor
visible expanse,5,descriptor
sense of breadth,5,descriptor
undeveloped,5,descriptor
further areas,5,descriptor
parking area,5,object
open green areas,5,object
room for exploration,5,descriptor
tree lines,5,object
road layout,5,object
paved,5,descriptor
high,5,descriptor
immediate environment,5,descriptor
wandering,5,descriptor
green space,5,object
movement possibilities,5,descriptor
either side,5,descriptor
manicured areas,5,object
grounds,5,object
sports field,5,object
structured layout,5,descriptor
visibility,5,descriptor
residential area,5,object
sports court,5,object
relatively,5,descriptor
discovering,5,descriptor
unbounded movement,5,descriptor
further,5,descriptor
paved paths,5,object
few boundaries,5,descriptor
significant,4,descriptor
open areas,4,descriptor
vast exploration possibilities,4,descriptor
construction,4,object
variety,4,descriptor
residential complex,4,object
wide-angle,4,descriptor
residential buildings,4,object
not overwhelming,4,descriptor
edges,4,descriptor
areas for movement,4,descriptor
building facades,4,object
clear path,4,descriptor
accessible,4,descriptor
perceived freedom,4,descriptor
campus,4,descriptor
traffic cones,4,object
unlimited,4,descriptor
width,4,descriptor
diverse,4,descriptor
limited exploration,4,descriptor
grassy spaces,4,object
sense of direction,4,descriptor
paved road,4,object
background,4,descriptor
overwhelming,4,descriptor
open green spaces,4,object
unexplored directions,4,descriptor
immediate limitations,4,descriptor
landscapes,4,object
open expanse,4,descriptor
expansive freedom,4,descriptor
limited view,4,descriptor
extent of exploration,4,descriptor
endless exploration,4,descriptor
reasonable sense of scope,4,descriptor
different,4,descriptor
absence,4,descriptor
lining,4,descriptor
planted areas,4,object
framing,4,descriptor
areas of greenery,4,object
navigable,4,descriptor
perspective,4,descriptor
bicycles,4,object
unbounded possibilities,4,descriptor
periphery,4,descriptor
walls,4,object
largely defined,4,descriptor
open road,4,object
foliage,4,object
specific,4,descriptor
street view,4,object
wild,4,descriptor
streetscape,4,object
defined edges,4,descriptor
greenery,4,descriptor
capacity for movement,4,descriptor
ample room,4,descriptor
panoramic,4,descriptor
fenced areas,4,object
neighborhood,4,object
substantial,4,descriptor
defined area,4,descriptor
broad scope,4,descriptor
scale,4,descriptor
wider,4,descriptor
pond,4,object
room for movement,4,descriptor
subtly limit,4,descriptor
designed,4,descriptor
natural features,4,object
sense of enclosure,4,descriptor
endless possibilities,3,descriptor
unhindered,3,descriptor
somewhat contained,3,descriptor
high scope,3,descriptor
defined paths,3,object
sense of possibility,3,descriptor
avenues,3,object
limited sense of scope,3,descriptor
broad possibilities,3,descriptor
progression,3,descriptor
defined pathways,3,descriptor
feeling of exploration,3,descriptor
apartment buildings,3,object
large area,3,descriptor
park area,3,object
expansive open areas,3,descriptor
visual barriers,3,descriptor
road infrastructure,3,object
controlled,3,descriptor
roadway,3,object
unbounded space,3,descriptor
surrounding environment,3,descriptor
sense of movement,3,descriptor
not boundless,3,descriptor
free exploration,3,descriptor
distance,3,object
fencing,3,object
lanes,3,object
unobstructed,3,descriptor
roadways,3,object
obvious boundaries,3,descriptor
forward movement,3,descriptor
moving about freely,3,descriptor
restrictive,3,descriptor
campus street,3,object
open space,3,object
unrestricted movement,3,descriptor
good sense of scope,3,descriptor
vast open spaces,3,descriptor
continuity,3,descriptor
industrial buildings,3,object
stadium,3,object
edges,3,object
overall scale,3,descriptor
waterway,3,object
restricting,3,descriptor
urban structures,3,object
boundless movement,3,descriptor
industrial setting,3,object
specific directions,3,descriptor
tennis courts,3,object
environment,3,descriptor
natural boundaries,3,descriptor
paved roads,3,object
not overly restrictive,3,descriptor
visual extent,3,descriptor
plaza,3,object
moving about,3,descriptor
developed area,3,descriptor
distinct,3,descriptor
not feeling overly confined,3,descriptor
connectivity,3,descriptor
urban landscape,3,object
construction barriers,3,object
moderate sense of openness,3,descriptor
park-like area,3,object
building structures,3,object
few visual cues,3,descriptor
strong sense of vastness,3,descriptor
tree-lined street,3,object
interconnected,3,descriptor
perceived freedom of movement,3,descriptor
foreground,3,descriptor
suburban,3,descriptor
sense of scope,3,descriptor
building edges,3,object
decent sense of scope,3,descriptor
open exploration,3,descriptor
narrow,3,descriptor
urban design,3,descriptor
green expanses,3,object
stretching into the distance,3,descriptor
path,3,descriptor
diverging,3,descriptor
vegetated areas,3,object
perceived vastness,3,descriptor
not confined,3,descriptor
perceived extent,3,descriptor
enclosure,3,descriptor
overall view,3,descriptor
truly wild,3,descriptor
natural area,3,object
extensive possibilities,3,descriptor
open layout,3,descriptor
reasonable sense of space,3,descriptor
park,3,object
property,3,object
subtly,3,descriptor
limited possibilities,3,descriptor
visual perspective,3,descriptor
expansive scope,3,descriptor
urban development,3,object
perceived opportunity,3,descriptor
fields,3,object
reasonable amount of space,3,descriptor
street intersection,3,object
paved surfaces,3,object
areas for exploration,3,descriptor
sufficient space,3,descriptor
expansive vistas,3,descriptor
terrain,2,object
landscape,2,descriptor
strongly convey,2,descriptor
space for exploration,2,descriptor
freedom to wander,2,descriptor
potential scope,2,descriptor
distant view,2,descriptor
curving paths,2,object
recedes,2,descriptor
predominantly,2,descriptor
sense of confinement,2,descriptor
integrated,2,descriptor
expansive natural setting,2,descriptor
expansive areas,2,descriptor
traffic,2,object
sides,2,descriptor
foreground elements,2,object
defining boundaries,2,descriptor
destinations,2,object
opportunity,2,descriptor
vast possibilities,2,descriptor
areas to explore,2,descriptor
urban streetscape,2,object
diverse pathways,2,descriptor
road boundaries,2,object
green,2,descriptor
