keyword,count,type
buildings,37,object
limited,18,descriptor
road,16,object
exploration,15,descriptor
boundaries,13,descriptor
movement,12,descriptor
vastness,12,descriptor
expansive,12,descriptor
pathways,11,object
greenery,10,object
roads,10,object
trees,10,object
open,8,descriptor
distance,8,descriptor
street,8,object
pathway,7,object
visible boundaries,7,descriptor
visible,6,descriptor
area,6,object
fences,6,object
limiting,5,descriptor
potential for exploration,5,descriptor
immediate,5,descriptor
defined,5,descriptor
open spaces,5,object
contained,5,descriptor
clear boundaries,4,descriptor
extensive exploration,4,descriptor
surrounding,4,descriptor
overall impression,4,descriptor
limit,4,descriptor
path,4,object
confined,4,descriptor
limitations,3,descriptor
extends,3,descriptor
multiple directions,3,descriptor
structures,3,object
extend,3,descriptor
freedom of movement,3,descriptor
sense of space,3,descriptor
open space,3,descriptor
sidewalks,3,object
distant,3,descriptor
vast,3,descriptor
green areas,3,object
openness,3,descriptor
boundaries,3,object
natural elements,3,object
grassy areas,3,object
paths,3,object
specific,2,descriptor
ample,2,descriptor
open space,2,object
continuous,2,descriptor
urban,2,descriptor
barriers,2,object
parking areas,2,object
restricted,2,descriptor
residential,2,descriptor
urban setting,2,object
dominant,2,descriptor
green spaces,2,object
spaciousness,2,descriptor
freedom,2,descriptor
possibility,2,descriptor
wide,2,descriptor
long,2,descriptor
discovery,2,descriptor
parked cars,2,object
construction,2,object
paved,2,descriptor
different directions,2,descriptor
specific directions,2,descriptor
well-defined,2,descriptor
possibilities,2,descriptor
natural,2,descriptor
sense of freedom,2,descriptor
larger,2,descriptor
freely,2,descriptor
sense of openness,2,descriptor
extending,2,descriptor
unbounded movement,2,descriptor
extensive,2,descriptor
limited scope,2,descriptor
visible area,2,descriptor
unbounded exploration,2,descriptor
walls,2,object
curving,1,descriptor
considerable,1,descriptor
confinement,1,descriptor
room for exploration,1,descriptor
cones,1,object
expansiveness,1,descriptor
density,1,descriptor
surrounding landscape,1,object
organized,1,descriptor
defined area,1,descriptor
generous,1,descriptor
construction work,1,object
parking lot,1,object
visual cues,1,descriptor
extensive exploration opportunities,1,descriptor
high,1,descriptor
limited view,1,descriptor
boundless possibility,1,descriptor
numerous directions,1,descriptor
infrastructure,1,object
utilitarian,1,descriptor
debris,1,object
moderate sense of openness,1,descriptor
undeveloped,1,descriptor
boundless exploration,1,descriptor
feeling of extensive exploration,1,descriptor
nature,1,descriptor
restricts,1,descriptor
space,1,descriptor
obvious boundaries,1,descriptor
potential exploration,1,descriptor
perceived boundaries,1,descriptor
less freedom,1,descriptor
wild,1,descriptor
urban street,1,object
capacity for exploration,1,descriptor
unrestricted exploration,1,descriptor
walkways,1,object
traversal,1,descriptor
defined boundaries,1,descriptor
paved paths,1,object
parking lots,1,object
possibility for movement,1,descriptor
flat,1,descriptor
uniform,1,descriptor
distinct pathways,1,descriptor
varied landscapes,1,descriptor
broad scope,1,descriptor
moderate,1,descriptor
forward movement,1,descriptor
walkway,1,object
open areas,1,object
moderate scope,1,descriptor
surroundings,1,object
park,1,object
built environment,1,object
edges,1,object
severe boundaries,1,descriptor
defined limits,1,descriptor
opportunities,1,descriptor
bordered,1,descriptor
urban landscaping,1,descriptor
defined paths,1,object
framed,1,descriptor
urban context,1,descriptor
expansive possibilities,1,descriptor
route,1,object
linear,1,descriptor
zones,1,object
restricted boundaries,1,descriptor
sense of vastness,1,descriptor
infinite possibilities,1,descriptor
stretching,1,descriptor
moving about,1,descriptor
discovering new areas,1,descriptor
manicured,1,descriptor
lacks vastness,1,descriptor
extensive exploration possibilities,1,descriptor
sports courts,1,object
structured environment,1,descriptor
explore,1,descriptor
rows of parked bikes,1,object
adjacent,1,descriptor
vegetation,1,object
dense,1,descriptor
overgrown,1,descriptor
clear invitation,1,descriptor
constraints,1,descriptor
vistas,1,object
discernible,1,descriptor
strong impression,1,descriptor
unlimited possibilities,1,descriptor
varied pathways,1,descriptor
not vast,1,descriptor
restrict,1,descriptor
distance,1,object
landscape,1,object
onward progression,1,descriptor
further exploration,1,descriptor
vanishing point,1,descriptor
potential boundaries,1,descriptor
contained nature,1,descriptor
limited opportunities,1,descriptor
perceived possibilities,1,descriptor
concrete wall,1,object
campus,1,object
clear definition,1,descriptor
industrial buildings,1,object
bounded,1,descriptor
clear,1,descriptor
opportunities for movement,1,descriptor
not overly confined,1,descriptor
visual presence,1,descriptor
depth,1,descriptor
potential for traversing,1,descriptor
extent of exploration,1,descriptor
vista,1,object
broad,1,descriptor
moderately sized,1,descriptor
extend into the distance,1,descriptor
further areas to discover,1,descriptor
sense of breadth,1,descriptor
possibilities for movement,1,descriptor
engagement within the environment,1,descriptor
constrained,1,descriptor
framing,1,descriptor
continuation,1,descriptor
moving about freely,1,descriptor
discovering new directions,1,descriptor
architecture,1,object
diverse,1,descriptor
many directions,1,descriptor
move about freely,1,descriptor
constraint,1,descriptor
body of water,1,object
gate,1,object
residential complex,1,object
boundary,1,descriptor
reasonable,1,descriptor
restricting,1,descriptor
functional,1,descriptor
industrial setting,1,object
varied,1,descriptor
industrial surroundings,1,object
commercial surroundings,1,object
minimal,1,descriptor
