full_path,year,lon,lat,score1,score,local_moran_i,local_moran_p,local_moran_quad,local_moran_category
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.8247679_22.6033668.png,201311,113.8247679,22.6033668,0.46419,0.40166,0.006825928181289086,0.257,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.826843_22.5991516.png,201311,113.826843,22.5991516,0.75031,0.231,0.005130613735991845,0.427,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.8327226_22.588928800000005.png,201311,113.8327226,22.5889288,0.23448,0.23061,-0.025782951154819177,0.273,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.83533558902073_22.644305643221244.png,201311,113.8353356,22.64430564,0.58878,0.43456,0.009118178598386083,0.019,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.83766518162263_22.641416403895732.png,201311,113.8376652,22.6414164,0.34445,0.25048,0.10355368842478364,0.059,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.83844682320864_22.579318505915754.png,201311,113.8384468,22.57931851,0.64106,0.2,-0.04253027897320106,0.303,2,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.83882751120629_22.63997007932517.png,201311,113.8388275,22.63997008,0.6038,0.31794,0.08297751473929495,0.034,3,LL
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.84117664281987_22.637094674727816.png,201311,113.8411766,22.63709467,0.2112,0.25048,0.06796071830143267,0.089,3,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.8462841_22.583814599999993.png,201311,113.8462841,22.5838146,0.2175,0.53606,0.01854383720384594,0.186,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.87865392033376_22.61317748414232.png,201311,113.8786539,22.61317748,0.58057,0.2827,-0.07538152056032031,0.004,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.882861_22.6128348.png,201311,113.882861,22.6128348,0.67,0.637,0.041281344087308935,0.085,1,Not significant
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.8903839_22.5539715.png,201311,113.8903839,22.5539715,0.7435,0.455,0.0054720507517657824,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.8964295_22.5980825.png,201311,113.8964295,22.5980825,0.47,0.41546,-0.018805547244252627,0.003,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9022082_22.590201799999996.png,201311,113.9022082,22.5902018,0.54703,0.1743,-0.20323036958609006,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.90606_22.596435000000003.png,201311,113.90606,22.596435,0.70977,0.45311,0.0021366963175379213,0.002,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.907799_22.526203099999996.png,201311,113.907799,22.5262031,0.44,0.5388,0.10688685595656872,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.91650685779294_22.599782819195894.png,201311,113.9165069,22.59978282,0.43,0.36,-0.04880381677195324,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9210168_22.637396899999995.png,201311,113.9210168,22.6373969,0.2317,0.42785,-0.006978807659089709,0.006,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9212475061574_22.624198398318953.png,201311,113.9212475,22.6241984,0.26729,0.375,-0.032757460607215044,0.004,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.92134492327405_22.6301559311904.png,201311,113.9213449,22.63015593,0.567,0.63128,0.0492095372144199,0.018,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9315387_22.6072424.png,201311,113.9315387,22.6072424,0.415,0.35621,-0.04036793241376217,0.005,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.93390290000002_22.603255199999996.png,201311,113.9339029,22.6032552,0.75,0.32034,-0.07216605924914486,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.955732_22.590690699999996.png,201311,113.955732,22.5906907,0.3892,0.58673,0.12307911836613278,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.95997440000001_22.599463099999998.png,201311,113.9599744,22.5994631,0.75224,0.63114,0.15538910092621536,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.972093_22.603460099999996.png,201311,113.972093,22.6034601,0.62315,0.61,0.13263592853753992,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.97215286575438_22.599851368800312.png,201311,113.9721529,22.59985137,0.43935,0.67931,0.20326134761499678,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.97217166373336_22.598046834891043.png,201311,113.9721717,22.59804683,0.65673,0.55963,0.11344400649136324,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9785024_22.6241635.png,201311,113.9785024,22.6241635,0.43751,0.41333,-0.017661678790206848,0.001,2,LH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9787376_22.589872099999997.png,201311,113.9787376,22.5898721,0.46952,0.51418,0.03594978654448107,0.001,1,HH
D:\A_Research\A_doing_research\20250804_LLM_campus_restoration\shanghai\final_image\201311_113.9824091_22.594394199999996.png,201311,113.9824091,22.5943942,0.1804,0.55828,0.06419767231792142,0.002,1,HH
