spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
highway,lack of refuge,continued transit,negative,201311_113.83766518162263_22.641416403895732.png
traffic,functional space,focus on tasks,negative,201311_113.83766518162263_22.641416403895732.png
infrastructure,stressful environment,avoidance of relaxation,negative,201311_113.83766518162263_22.641416403895732.png
roadway,not a refuge,safe navigation,negative,201311_113.83533558902073_22.644305643221244.png
traffic,reinforces daily demands,maintaining focus,negative,201311_113.83533558902073_22.644305643221244.png
setting,utilitarian nature,continuing routines,negative,201311_113.83533558902073_22.644305643221244.png
construction,lack of refuge,avoidance of space,negative,201311_113.826843_22.5991516.png
overpass,distraction,increased stress,negative,201311_113.826843_22.5991516.png
power lines,urban demands,focus on tasks,negative,201311_113.826843_22.5991516.png
trees,separation from urban bustle,seeking tranquility,positive,201311_113.8327226_22.588928800000005.png
road,limited escape,feeling tethered,negative,201311_113.8327226_22.588928800000005.png
cars,disruption of peace,increased stress,negative,201311_113.8327226_22.588928800000005.png
wall,barrier to freedom,feeling confined,negative,201311_113.8327226_22.588928800000005.png
sky,sense of openness,inspiration,positive,201311_113.8327226_22.588928800000005.png
highway,lack of escape,commuting,negative,201311_113.87865392033376_22.61317748414232.png
traffic,stress,traveling,negative,201311_113.87865392033376_22.61317748414232.png
road,mental detachment,transit,negative,201311_113.87865392033376_22.61317748414232.png
highway,lack of escape,increased stress,negative,201311_113.83882751120629_22.63997007932517.png
vehicles,ongoing activity,distraction from concerns,negative,201311_113.83882751120629_22.63997007932517.png
road signs,sense of urgency,focus on transit,negative,201311_113.83882751120629_22.63997007932517.png
trees,moderate sense of being away,mental escape,positive,201311_113.8247679_22.6033668.png
road,departure from urban hustle,pleasant break,positive,201311_113.8247679_22.6033668.png
sky,feeling of openness,mental escape,positive,201311_113.8247679_22.6033668.png
trees,sense of escape,step away from concerns,positive,201311_113.8462841_22.583814599999993.png
street,mental respite,find calm,positive,201311_113.8462841_22.583814599999993.png
road,lack of escape,remain engaged,negative,201311_113.83844682320864_22.579318505915754.png
wall,connection to mundane,avoid exploration,negative,201311_113.83844682320864_22.579318505915754.png
