spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
highway,limited fascination,difficult to engage,negative,201311_113.83766518162263_22.641416403895732.png
vehicles,boredom,lack of attention,negative,201311_113.83766518162263_22.641416403895732.png
signage,lack of interest,disengagement,negative,201311_113.83766518162263_22.641416403895732.png
mountains,distant appeal,momentary distraction,neutral,201311_113.83766518162263_22.641416403895732.png
greenery,minimal engagement,brief observation,neutral,201311_113.83766518162263_22.641416403895732.png
roadway,monotonous and lacking stimuli,boredom,negative,201311_113.83533558902073_22.644305643221244.png
trees,functional and unengaging,disinterest,negative,201311_113.83533558902073_22.644305643221244.png
buildings,utilitarian,lack of engagement,negative,201311_113.83533558902073_22.644305643221244.png
trees,limited fascination,lack of engagement,negative,201311_113.826843_22.5991516.png
sky,limited fascination,lack of engagement,negative,201311_113.826843_22.5991516.png
overpass,not engaging,avoidance,negative,201311_113.826843_22.5991516.png
construction,not engaging,avoidance,negative,201311_113.826843_22.5991516.png
road,plainness,lack of interest,negative,201311_113.826843_22.5991516.png
urban elements,little attention,disengagement,negative,201311_113.826843_22.5991516.png
foliage,visual interest,engagement,positive,201311_113.8327226_22.588928800000005.png
road,limited fascination,distraction,negative,201311_113.8327226_22.588928800000005.png
fence,restricted view,avoidance,negative,201311_113.8327226_22.588928800000005.png
debris,lack of appeal,disengagement,negative,201311_113.8327226_22.588928800000005.png
vehicles,monotony,disinterest,negative,201311_113.8327226_22.588928800000005.png
scenery,not engaging,lack of attention,negative,201311_113.8327226_22.588928800000005.png
highway,limited engagement,avoid exploration,negative,201311_113.87865392033376_22.61317748414232.png
greenery,lack of fascination,feel boredom,negative,201311_113.87865392033376_22.61317748414232.png
sky,sense of openness,increased relaxation,positive,201311_113.83882751120629_22.63997007932517.png
mountains,awe and wonder,exploration,positive,201311_113.83882751120629_22.63997007932517.png
greenery,calmness,social interaction,positive,201311_113.83882751120629_22.63997007932517.png
barrier,isolation,withdrawal,negative,201311_113.83882751120629_22.63997007932517.png
highway,monotony,disengagement,negative,201311_113.83882751120629_22.63997007932517.png
trees,visually engaging,increased exploration,positive,201311_113.8247679_22.6033668.png
sky,sense of visual interest,enhanced relaxation,positive,201311_113.8247679_22.6033668.png
road,overall simplicity,limited engagement,negative,201311_113.8247679_22.6033668.png
greenery,visually engaging environment,exploration,positive,201311_113.8462841_22.583814599999993.png
sunlight,inviting atmosphere,relaxation,positive,201311_113.8462841_22.583814599999993.png
road,sense of journey,movement,positive,201311_113.8462841_22.583814599999993.png
trees,interest in details,curiosity,positive,201311_113.8462841_22.583814599999993.png
elements,lack of excitement,disengagement,negative,201311_113.8462841_22.583814599999993.png
focal points,limited fascination,reduced exploration,negative,201311_113.8462841_22.583814599999993.png
road,limited attention,avoid boredom,negative,201311_113.83844682320864_22.579318505915754.png
vegetation,minimal visual stimulation,difficult to engage,negative,201311_113.83844682320864_22.579318505915754.png
infrastructure,lack of interest,distraction avoidance,negative,201311_113.83844682320864_22.579318505915754.png
highway,limited fascination,difficult to engage,negative,201311_113.84117664281987_22.637094674727816.png
greenery,some attraction,momentary interest,neutral,201311_113.84117664281987_22.637094674727816.png
mountains,distant beauty,brief admiration,neutral,201311_113.84117664281987_22.637094674727816.png
greenery,engaging nature,increased attention,positive,201311_113.882861_22.6128348.png
buildings,visual interest,exploration of space,positive,201311_113.882861_22.6128348.png
courts,dynamic atmosphere,social interaction,positive,201311_113.882861_22.6128348.png
sunlight,vibrant mood,outdoor activities,positive,201311_113.882861_22.6128348.png
textures,aesthetic appreciation,increased curiosity,positive,201311_113.882861_22.6128348.png
trees,degree of visual interest,engagement with space,positive,201311_113.8964295_22.5980825.png
road,limited engagement,avoidance of interaction,negative,201311_113.8964295_22.5980825.png
fencing,restricted access,decreased exploration,negative,201311_113.8964295_22.5980825.png
construction,detracted sense of wonder,disinterest in surroundings,negative,201311_113.8964295_22.5980825.png
road,boredom,lack of engagement,negative,201311_113.9210168_22.637396899999995.png
barrier,disinterest,avoidance,negative,201311_113.9210168_22.637396899999995.png
trees,minimal interest,passive observation,neutral,201311_113.9210168_22.637396899999995.png
buildings,lack of fascination,disengagement,negative,201311_113.9210168_22.637396899999995.png
roads,limited visual interest,prevent boredom,negative,201311_113.91650685779294_22.599782819195894.png
greenery,lack of engagement,avoid exploration,negative,201311_113.91650685779294_22.599782819195894.png
trees,some visual interest,engagement with surroundings,positive,201311_113.8903839_22.5539715.png
cars,limits attention,distraction,negative,201311_113.8903839_22.5539715.png
architecture,lack of captivating elements,boredom,negative,201311_113.8903839_22.5539715.png
bicycles,not enough novelty,short-lived interest,negative,201311_113.8903839_22.5539715.png
streetlights,minimal engagement,lack of exploration,negative,201311_113.8903839_22.5539715.png
vehicles,limited fascination,lack of engagement,negative,201311_113.9022082_22.590201799999996.png
greenery,separated interest,minimal interaction,negative,201311_113.9022082_22.590201799999996.png
road,monotony,disinterest,negative,201311_113.9022082_22.590201799999996.png
noise barriers,isolation,avoidance,negative,201311_113.9022082_22.590201799999996.png
buildings,moderate fascination,exploration,neutral,201311_113.907799_22.526203099999996.png
trees,visual engagement,appreciation,positive,201311_113.907799_22.526203099999996.png
signage,points of interest,navigation,positive,201311_113.907799_22.526203099999996.png
roads,potential distraction,avoidance,negative,201311_113.907799_22.526203099999996.png
foliage,play of light and shadow,observation,positive,201311_113.907799_22.526203099999996.png
trees,limited engagement,short visits,negative,201311_113.90606_22.596435000000003.png
road,lack of interest,avoidance of prolonged stay,negative,201311_113.90606_22.596435000000003.png
