spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
highway,limited exploration,restricted movement,negative,201311_113.83766518162263_22.641416403895732.png
barriers,sense of confinement,avoidance of new directions,negative,201311_113.83766518162263_22.641416403895732.png
roadway,sense of spaciousness,movement and exploration,positive,201311_113.83533558902073_22.644305643221244.png
vehicles,dynamic environment,traveling,positive,201311_113.83533558902073_22.644305643221244.png
buildings,broader context,exploring further areas,positive,201311_113.83533558902073_22.644305643221244.png
hills,sense of distance,desire to venture out,positive,201311_113.83533558902073_22.644305643221244.png
road,constrained exploration,hesitation to explore,negative,201311_113.826843_22.5991516.png
trees,limited openness,avoidance of engagement,negative,201311_113.826843_22.5991516.png
wall,sense of confinement,withdrawal from space,negative,201311_113.826843_22.5991516.png
overpass,blocked view,disinterest in surroundings,negative,201311_113.826843_22.5991516.png
construction,disruption of peace,avoidance of area,negative,201311_113.826843_22.5991516.png
road,limited spatial exploration,restricted movement,negative,201311_113.8327226_22.588928800000005.png
greenery,sense of confinement,hesitation to explore,negative,201311_113.8327226_22.588928800000005.png
wall,feeling of boundaries,avoidance of exploration,negative,201311_113.8327226_22.588928800000005.png
highway,sense of linearity and forward movement,possibility of travel,positive,201311_113.87865392033376_22.61317748414232.png
road,hints at a larger environment,exploration,positive,201311_113.87865392033376_22.61317748414232.png
greenery,sense of freedom,enjoyment of nature,positive,201311_113.87865392033376_22.61317748414232.png
mountains,sense of distance,desire to explore,positive,201311_113.87865392033376_22.61317748414232.png
vehicle,limited sense of exploration,restricted movement,negative,201311_113.87865392033376_22.61317748414232.png
roadside,immediate environment,awareness of surroundings,neutral,201311_113.87865392033376_22.61317748414232.png
highway,limited sense of exploration,constrained movement,negative,201311_113.83882751120629_22.63997007932517.png
mountains,hint of larger landscape,encouraged curiosity,positive,201311_113.83882751120629_22.63997007932517.png
barriers,feeling of confinement,reduced exploration,negative,201311_113.83882751120629_22.63997007932517.png
road,expansive view,limited physical movement,neutral,201311_113.83882751120629_22.63997007932517.png
road,suggests a journey,exploration,positive,201311_113.8247679_22.6033668.png
foliage,limited exploration,hesitation,negative,201311_113.8247679_22.6033668.png
fence,sense of confinement,restriction,negative,201311_113.8247679_22.6033668.png
property,lack of openness,avoidance,negative,201311_113.8247679_22.6033668.png
road,sense of exploration,encourages movement,positive,201311_113.8462841_22.583814599999993.png
walls,feeling of confinement,restricts movement,negative,201311_113.8462841_22.583814599999993.png
vegetation,limited openness,reduces exploration,negative,201311_113.8462841_22.583814599999993.png
road,sense of limited boundaries,limited exploration,negative,201311_113.83844682320864_22.579318505915754.png
vegetation,sense of confinement,restricted movement,negative,201311_113.83844682320864_22.579318505915754.png
wall,feeling of enclosure,discouraged exploration,negative,201311_113.83844682320864_22.579318505915754.png
highway,limited sense of freedom,restricted exploration,negative,201311_113.84117664281987_22.637094674727816.png
barrier,constrained environment,lack of movement,negative,201311_113.84117664281987_22.637094674727816.png
roads,sense of spaciousness,exploration,positive,201311_113.882861_22.6128348.png
greenery,calming effect,movement,positive,201311_113.882861_22.6128348.png
pathways,invitation to discover,walking,positive,201311_113.882861_22.6128348.png
landscaping,openness,exploration,positive,201311_113.882861_22.6128348.png
sports courts,active engagement,participation in sports,positive,201311_113.882861_22.6128348.png
roads,potential for exploration,exploring surroundings,positive,201311_113.8964295_22.5980825.png
horizon,sense of openness,seeking new experiences,positive,201311_113.8964295_22.5980825.png
greenery,connection to nature,spending time outdoors,positive,201311_113.8964295_22.5980825.png
infrastructure,feeling contained,limited exploration,negative,201311_113.8964295_22.5980825.png
fences,sense of restriction,avoiding certain areas,negative,201311_113.8964295_22.5980825.png
road,sense of openness,explore,positive,201311_113.9210168_22.637396899999995.png
barrier,limited exploration,restrict movement,negative,201311_113.9210168_22.637396899999995.png
areas,restricted feeling,limit movement,negative,201311_113.9210168_22.637396899999995.png
roads,sense of openness,exploration,positive,201311_113.91650685779294_22.599782819195894.png
views,feeling of spaciousness,movement,positive,201311_113.91650685779294_22.599782819195894.png
infrastructure,defined space,navigation,neutral,201311_113.91650685779294_22.599782819195894.png
sky,sense of potential,exploration,positive,201311_113.91650685779294_22.599782819195894.png
buildings,sense of confinement,limited exploration,negative,201311_113.8903839_22.5539715.png
vehicles,feeling of restriction,hesitation to move,negative,201311_113.8903839_22.5539715.png
sidewalks,sense of order,structured movement,neutral,201311_113.8903839_22.5539715.png
street,lack of openness,avoidance of exploration,negative,201311_113.8903839_22.5539715.png
highway,sense of openness,exploration,positive,201311_113.9022082_22.590201799999996.png
