image_path,Average,Grok-4,Claude-3.7-Sonnet,Gemini-2.5-Flash,ChatGPT-4o,Qwen2.5-VL-72B,Llama-4-Maverick,With prior knowledge,Without prior knowledge,K=2,K=3,K=5
202212_113.9494489_22.5835412.png,0.524205111,0.54789,0.52421,0.52421,0.52714,0.52421,0.52421,0.52421,0.54789,0.52421,0.54789,0.58289
202212_113.9239898_22.504820799999997.png,0.533060767,0.535,0.53306,0.53306,0.53306,0.53306,0.55,0.53306,0.635,0.53306,0.535,0.51635
202103_113.9317217_22.5611119.png,0.530182305,0.53018,0.53018,0.53018,0.54731,0.51234,0.53018,0.53018,0.53018,0.53018,0.53018,0.55825
202212_113.8455067_22.571828900000003.png,0.322896745,0.37268,0.42098,0.3229,0.375,0.3229,0.32,0.42098,0.37268,0.42098,0.37268,0.21291
202211_113.836346_22.638564300000002.png,0.530366598,0.53037,0.53037,0.73037,0.45637,0.53037,0.53037,0.53037,0.53037,0.53037,0.53037,0.56514
202212_113.9224188_22.538887600000006.png,0.732775734,0.73278,0.73278,0.73278,0.76722,0.73278,0.73278,0.73278,0.73278,0.73278,0.73278,0.77185
202212_113.8790194_22.5608856.png,0.524004965,0.524,0.524,0.524,0.396,0.524,0.55,0.524,0.524,0.524,0.536,0.54692
202103_113.85770470000001_22.582482999999996.png,0.51931988,0.51932,0.51932,0.51932,0.43257,0.51932,0.51932,0.51932,0.51932,0.51932,0.51932,0.55889
202211_114.14458594103891_22.691730256908752.png,0.428117401,0.42812,0.42812,0.42812,0.3844,0.43248,0.42812,0.42812,0.42812,0.42812,0.41812,0.41749
202103_113.8106956_22.774374599999994.png,0.348072879,0.34989,0.54989,0.34807,0.39685,0.42184,0.34989,0.54989,0.54989,0.54989,0.54989,0.36555
201402_114.3588178_22.7231454.png,0.397322635,0.49621,0.39732,0.39732,0.40218,0.42186,0.39732,0.39732,0.49621,0.39732,0.49621,0.34878
201709_113.9925216_22.550671499999996.png,0.367371782,0.36737,0.36737,0.36737,0.31542,0.36737,0.367,0.36737,0.56737,0.36737,0.32737,0.23958
202103_114.2358123_22.728261600000003.png,0.770589784,0.77059,0.77059,0.77059,0.62533,0.77059,0.77,0.77059,0.77059,0.77059,0.77059,0.73732
201908_114.2393767_22.557769699999998.png,0.735728017,0.73573,0.73573,0.73573,0.65428,0.73573,0.75,0.73573,0.73573,0.73573,0.73573,0.75665
202211_114.29145377862082_22.72440749735727.png,0.397883749,0.39788,0.38152,0.59788,0.33922,0.39527,0.39788,0.38152,0.39788,0.38152,0.39788,0.44826
201709_114.01594280000002_22.643162600000004.png,0.378760195,0.41187,0.37876,0.37876,0.39407,0.38214,0.37876,0.37876,0.41187,0.37876,0.43187,0.36077
202211_114.13115568027233_22.70972758510674.png,0.282154056,0.28756,0.50068,0.28215,0.38173,0.31248,0.25,0.50068,0.48756,0.50068,0.58756,0.26701
201607_114.1406262_22.5624803.png,0.308314517,0.3269,0.5269,0.3875,0.32781,0.5269,0.35,0.5269,0.5269,0.5269,0.5269,0.241
202103_113.9772284_22.566765299999997.png,0.578114349,0.57811,0.58711,0.57811,0.53756,0.63242,0.57811,0.58711,0.57811,0.58711,0.57811,0.56481
202212_113.93686530000001_22.496623499999995.png,0.830998889,0.831,0.831,0.75361,0.65429,0.831,0.831,0.831,0.831,0.831,0.841,0.78129
201709_113.943607_22.5605947.png,0.330890697,0.36589,0.33089,0.33089,0.35033,0.38214,0.33,0.33089,0.36589,0.33089,0.36589,0.36363
202212_113.8545129_22.757254.png,0.497032944,0.49703,0.49703,0.45789,0.52753,0.46218,0.49703,0.49703,0.49703,0.49703,0.49703,0.47013
201902_113.78802927099669_22.681579777229107.png,0.458453974,0.4875,0.45845,0.45845,0.48594,0.48215,0.45845,0.45845,0.4875,0.45845,0.4875,0.4597
202101_113.93861180000002_22.7661842.png,0.498368709,0.58723,0.49837,0.49837,0.32817,0.51685,0.49837,0.49837,0.58723,0.49837,0.58723,0.45827
202102_113.89478710000002_22.7161406.png,0.417855297,0.41786,0.41786,0.41786,0.46087,0.41786,0.45,0.41786,0.41786,0.41786,0.41786,0.43468
201601_113.8745102_22.5675937.png,0.268542738,0.47766,0.27766,0.26854,0.30674,0.27766,0.25,0.27766,0.47766,0.27766,0.27766,0.24257
202103_113.9384793_22.5211772.png,0.419663884,0.49872,0.41966,0.41966,0.34793,0.41966,0.45,0.41966,0.69872,0.41966,0.49872,0.43068
201311_114.1331646_22.6036264.png,0.477277877,0.57842,0.48139,0.57728,0.42416,0.41243,0.45,0.48139,0.57842,0.48139,0.57842,0.45326
202212_113.87041220000002_22.5580962.png,0.523595606,0.5236,0.5236,0.5236,0.31253,0.524,0.5236,0.5236,0.5236,0.5236,0.5236,0.56622
201709_114.0756785_22.621517099999995.png,0.452824602,0.45282,0.45282,0.45782,0.45632,0.42145,0.45282,0.45282,0.45282,0.45282,0.45282,0.099
202103_113.941758_22.503601700000004.png,0.528826379,0.52883,0.52883,0.52883,0.42992,0.52883,0.52883,0.52883,0.52883,0.52883,0.52883,0.56128
201311_113.9824091_22.594394199999996.png,0.574533876,0.53428,0.57453,0.57453,0.52766,0.62431,0.75,0.57453,0.63428,0.57453,0.63428,0.55109
201312_114.4932418459449_22.59812495946907.png,0.398424182,0.2875,0.44441,0.45838,0.64937,0.74216,0.39,0.44441,0.5875,0.44441,0.4875,0.34557
